Rank,Movie_name,URL,Release_Year,IMDB_Rating,Metascore,Reviewer_count,Censor_Board_Rating,Movie_Length,Genre_1,Genre_2,Genre_3,Genre_4,Release_Date,Story_Summary,Director,Writer_1,Writer_2,Writer_3,Star_1,Star_2,Star_3,Star_4,Star_5,Plot_Keywords,Budget,Gross_USA,Cum_Worldwide_Gross,Production_Company
966,Sherlock Holmes,https://www.imdb.com/title/tt0988045/,2009,7.6,57,"571,560",PG-13,2h 8min,Action,Adventure,Mystery, ,25 December 2009 (Israel),Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,Michael Robert Johnson(screenplay),Anthony Peckham(screenplay),4 more credits»,Robert Downey Jr.,Jude Law,Rachel McAdams, , ,scotland yard inspector|sherlock holmes character|serial killer|black magic|victorian era,"$90,000,000(estimated)","$209,028,679","$524,028,679","Warner Bros.,Village Roadshow Pictures,Silver Pictures"
967,Star Trek,https://www.imdb.com/title/tt0796366/,2009,7.9,82,"570,173",PG-13,2h 7min,Action,Adventure,Sci-Fi, ,7 May 2009 (Israel),The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,Roberto Orci,Alex Kurtzman, ,Chris Pine,Zachary Quinto,Simon Pegg, , ,disobeying orders|automobile|car|part of series|bra,"$150,000,000(estimated)","$257,730,019","$385,680,446","Paramount Pictures,Spyglass Entertainment,Bad Robot"
968,Zombieland,https://www.imdb.com/title/tt1156398/,2009,7.6,73,"507,554",R,1h 28min,Adventure,Comedy,Fantasy, ,3 December 2009 (Israel),"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,Rhett Reese,Paul Wernick, ,Jesse Eisenberg,Emma Stone,Woody Harrelson, , ,zombie|amusement park|twinkie|on the road|actor playing himself,"$23,600,000(estimated)","$75,590,286","$102,392,080","Columbia Pictures,Relativity Media,Pariah"
969,Watchmen,https://www.imdb.com/title/tt0409459/,2009,7.6,56,"487,912",R,2h 42min,Action,Drama,Mystery, ,5 March 2009 (Israel),"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,David Hayter(screenplay),Alex Tse(screenplay), ,Jackie Earle Haley,Patrick Wilson,Carla Gugino, , ,rape|conspiracy|doomsday clock|false promise of the american dream|nihilist,"$130,000,000(estimated)","$107,509,799","$185,382,813","Warner Bros.,Paramount Pictures,Legendary Entertainment"
970,,https://www.imdb.com/title/tt1022603/,500,7.7,76,"461,912",PG-13,1h 35min,Comedy,Drama,Romance, ,12 November 2009 (Israel),"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",Marc Webb,Scott Neustadter,Michael H. Weber, ,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend, , ,true love|bangs|hiked skirt|premarital sex|chinaman,"$7,500,000(estimated)","$32,391,374","$60,722,734","Fox Searchlight Pictures,Watermark,Dune Entertainment III"
971,X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,2009,6.6,40,"457,631",PG-13,1h 47min,Action,Adventure,Sci-Fi, ,30 April 2009 (Israel),"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Gavin Hood,David Benioff(screenplay),Skip Woods(screenplay), ,Hugh Jackman,Liev Schreiber,Ryan Reynolds, , ,good versus evil|self healing|commando|civil war|claw fight,"$150,000,000(estimated)","$179,883,157","$373,062,864","Twentieth Century Fox,Marvel Enterprises,Dune Entertainment"
972,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,2009,7.6,78,"454,132",PG,2h 33min,Action,Adventure,Family, ,16 July 2009 (Israel),"As Harry Potter (Daniel Radcliffe) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (Ralph Fiennes') dark past.",David Yates,Steve Kloves(screenplay),J.K. Rowling(novel), ,Daniel Radcliffe,Emma Watson,Rupert Grint, , ,school of magic|hereditary gift of witchcraft|witchcraft|hourglass|lifting a female into the air,"$250,000,000(estimated)","$302,305,431","$942,521,924","Warner Bros.,Heyday Films"
973,Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/,2009,6.0,35,"377,840",PG-13,2h 29min,Action,Adventure,Sci-Fi, ,25 June 2009 (Israel),"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Michael Bay,Ehren Kruger,Roberto Orci, ,Shia LaBeouf,Megan Fox,Josh Duhamel, , ,optimus prime character|megatron character|toaster|ratchet character|man wearing a thong,"$200,000,000(estimated)","$402,111,870","$836,303,693","DreamWorks,Paramount Pictures,Tom DeSanto/Don Murphy Production"
974,2012,https://www.imdb.com/title/tt1190080/,2009,5.8,49,"345,554",PG-13,2h 38min,Action,Adventure,Sci-Fi, ,12 November 2009 (Israel),A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Roland Emmerich,Roland Emmerich,Harald Kloser, ,John Cusack,Thandie Newton,Chiwetel Ejiofor, , ,apocalypse|earthquake|end of the world|elizabeth i character|juvenile bedwetting,"$200,000,000(estimated)","$166,112,167","$791,217,826","Columbia Pictures,Centropolis Entertainment,Farewell Productions"
975,Terminator Salvation,https://www.imdb.com/title/tt0438488/,2009,6.5,49,"337,567",PG-13,1h 55min,Action,Adventure,Sci-Fi, ,4 June 2009 (Israel),"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",McG,John Brancato,Michael Ferris, ,Christian Bale,Sam Worthington,Anton Yelchin, , ,skynet|machine|future|rescue|the terminator character,"$200,000,000(estimated)","$125,322,469","$371,353,001","The Halcyon Company,Wonderland Sound and Vision,Columbia Pictures"
