Rank,Movie_name,URL,Release_Year,IMDB_Rating,Metascore,Reviewer_count,Censor_Board_Rating,Movie_Length,Genre_1,Genre_2,Genre_3,Genre_4,Release_Date,Story_Summary,Director,Writer_1,Writer_2,Writer_3,Star_1,Star_2,Star_3,Star_4,Star_5,Plot_Keywords,Budget,Gross_USA,Cum_Worldwide_Gross,Production_Company
153,Jurassic Park,https://www.imdb.com/title/tt0107290/,1993,8.1,68,"837,224",PG,2h 7min,Action,Adventure,Sci-Fi, ,30 July 1993 (Israel),A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Michael Crichton(novel),Michael Crichton(screenplay), ,Sam Neill,Laura Dern,Jeff Goldblum, , ,national film registry|dinosaur|tyrannosaurus rex|theme park|chaos theory,"$63,000,000(estimated)","$402,828,120","$1,032,020,521","Universal Pictures,Amblin Entertainment"
154,Groundhog Day,https://www.imdb.com/title/tt0107048/,1993,8.0,72,"566,377",PG,1h 41min,Comedy,Fantasy,Romance, ,12 February 1993 (USA),A weatherman finds himself inexplicably living the same day over and over again.,Harold Ramis,Danny Rubin(screenplay),Harold Ramis(screenplay), ,Bill Murray,Andie MacDowell,Chris Elliott, , ,trapped in a time loop|time loop|groundhog day|suicide|weatherman,"$14,600,000(estimated)","$70,906,973","$70,906,973",Columbia Pictures
155,The Nightmare Before Christmas,https://www.imdb.com/title/tt0107688/,1993,8.0,82,"283,763",PG,1h 16min,Animation,Family,Fantasy, ,29 October 1993 (USA),"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,Tim Burton(story and characters),Michael McDowell(adaptation), ,Danny Elfman,Chris Sarandon,Catherine O'Hara, , ,christmas movie|christmas|halloween|gothic|stop motion animation,"$18,000,000(estimated)","$75,082,668","$89,140,058","Touchstone Pictures,Skellington Productions Inc.,Tim Burton Productions"
156,The Fugitive,https://www.imdb.com/title/tt0106977/,1993,7.8,87,"260,128",PG-13,2h 10min,Action,Crime,Drama, ,6 August 1993 (USA),"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,Jeb Stuart(screenplay),David Twohy(screenplay),2 more credits»,Harrison Ford,Tommy Lee Jones,Sela Ward, , ,one armed man|on the run|u.s. marshal|surgeon|chicago illinois,"$44,000,000(estimated)","$183,875,760","$368,875,760","Warner Bros.,Kopelson Entertainment"
157,Mrs. Doubtfire,https://www.imdb.com/title/tt0107614/,1993,7.0,53,"237,635",PG-13,2h 5min,Comedy,Drama,Family, ,28 January 1994 (Israel),"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Chris Columbus,Anne Fine(novel),Randi Mayem Singer(screenplay), ,Robin Williams,Sally Field,Pierce Brosnan, , ,male actor playing a female character|profanity|birthday|wild party|petting zoo,"$25,000,000(estimated)","$219,195,243","$441,286,195","Twentieth Century Fox,Blue Wolf Productions"
158,Philadelphia,https://www.imdb.com/title/tt0107818/,1993,7.7,66,"218,259",PG-13,2h 5min,Drama, , , ,14 January 1994 (USA),"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,Ron Nyswaner, , ,Tom Hanks,Denzel Washington,Roberta Maxwell, , ,aids|city name in title|listening to opera|lawyer|gay,"$26,000,000(estimated)","$77,446,440","$206,678,440","TriStar Pictures,Clinica Estetico"
159,What's Eating Gilbert Grape,https://www.imdb.com/title/tt0108550/,1993,7.8,73,"208,845",PG-13,1h 58min,Drama, , , ,4 March 1994 (USA),A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,Peter Hedges(novel),Peter Hedges(screenplay), ,Johnny Depp,Leonardo DiCaprio,Juliette Lewis, , ,mentally challenged|small town|countryside|rural setting|responsibility,"$11,000,000(estimated)","$10,032,765","$10,032,765",Paramount Pictures
160,True Romance,https://www.imdb.com/title/tt0108399/,1993,7.9,59,"200,903",R,1h 59min,Crime,Drama,Romance, ,10 September 1993 (USA),"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,Quentin Tarantino, , ,Christian Slater,Patricia Arquette,Dennis Hopper, , ,drugs|cocaine|pimp|aspiring actor|los angeles california,"$13,000,000(estimated)","$12,281,551","$12,281,551","Morgan Creek Entertainment,Davis-Films,August Entertainment"
161,Carlito's Way,https://www.imdb.com/title/tt0106519/,1993,7.9,65,"195,194",R,2h 24min,Crime,Drama,Thriller, ,12 November 1993 (USA),"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,Edwin Torres(novels),David Koepp(screenplay), ,Al Pacino,Sean Penn,Penelope Ann Miller, , ,mafia|breasts|female nudity|go go dancer|female frontal nudity,"$30,000,000(estimated)","$36,948,322","$63,851,527","Universal Pictures,Epic Productions,Bregman/Baer Productions"
162,Falling Down,https://www.imdb.com/title/tt0106856/,1993,7.6,56,"165,137",R,1h 53min,Crime,Drama,Thriller, ,26 February 1993 (USA),An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,Joel Schumacher,Ebbe Roe Smith, , ,Michael Douglas,Robert Duvall,Barbara Hershey, , ,rage|alienation|urban decay|social commentary|downward spiral,"$25,000,000(estimated)","$40,903,593","$40,903,593","Alcor Films,Canal+,Regency Enterprises"
163,Dazed and Confused,https://www.imdb.com/title/tt0106677/,1993,7.6,78,"159,781",R,1h 42min,Comedy, , , ,10 February 1994 (Argentina),The adventures of high school and junior high students on the last day of school in May 1976.,Richard Linklater,Richard Linklater, , ,Jason London,Wiley Wiggins,Matthew McConaughey, , ,hazing|high school|last day of school|football|pledge,"$6,900,000(estimated)","$7,993,039","$7,993,039","Gramercy Pictures (I),Alphaville Films,Detour Filmproduction"
164,Sleepless in Seattle,https://www.imdb.com/title/tt0108160/,1993,6.8,72,"154,457",PG,1h 45min,Comedy,Drama,Romance, ,25 June 1993 (USA),A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,Nora Ephron,Jeff Arch(story),Nora Ephron(screenplay),2 more credits»,Tom Hanks,Meg Ryan,Ross Malinger, , ,seattle washington|radio show|place name in title|teddy bear|eating late,"$21,000,000(estimated)","$126,808,165","$227,927,165",TriStar Pictures
165,Demolition Man,https://www.imdb.com/title/tt0106697/,1993,6.7,34,"154,332",R,1h 55min,Action,Sci-Fi,Thriller, ,8 October 1993 (USA),A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,Marco Brambilla,Peter M. Lenkov(story),Robert Reneau(story),3 more credits»,Sylvester Stallone,Wesley Snipes,Sandra Bullock, , ,year 2032|totalitarianism|censorship|cyberpunk|cryonics,"$57,000,000(estimated)","$58,055,768","$58,055,768","Warner Bros.,Silver Pictures"
166,Last Action Hero,https://www.imdb.com/title/tt0107362/,1993,6.4,44,"133,095",PG-13,2h 10min,Action,Adventure,Comedy, ,18 June 1993 (USA),"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",John McTiernan,Zak Penn(story),Adam Leff(story),2 more credits»,Arnold Schwarzenegger,F. Murray Abraham,Art Carney, , ,year 1993|video store|death character|polonius character|claudius character,"$85,000,000(estimated)","$50,016,394","$137,298,489","Columbia Pictures,Oak Productions"
167,A Bronx Tale,https://www.imdb.com/title/tt0106489/,1993,7.8,80,"124,094",R,2h 1min,Crime,Drama,Romance, ,1 October 1993 (USA),A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Robert De Niro,Chazz Palminteri(play),Chazz Palminteri(screenplay), ,Robert De Niro,Chazz Palminteri,Lillo Brancato, , ,burnt body|dying young|car on fire|bus ride|father son conflict,"$22,000,000(estimated)","$17,287,898","$17,287,898","Price Entertainment,Penta Entertainment,Tribeca Productions"
168,Tombstone,https://www.imdb.com/title/tt0108358/,1993,7.8,50,"122,114",R,2h 10min,Action,Biography,Drama, ,25 December 1993 (USA),"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",George P. Cosmatos,Kevin Jarre, , ,Kurt Russell,Val Kilmer,Sam Elliott, , ,wyatt earp character|two gun holster|double gun holster|tucson arizona|benson arizona,"$25,000,000(estimated)","$56,505,065","$56,505,065","Hollywood Pictures,Cinergi Pictures Entertainment,Alphaville Films"
169,Cliffhanger,https://www.imdb.com/title/tt0106582/,1993,6.4,60,"116,880",R,1h 53min,Action,Adventure,Thriller, ,28 May 1993 (USA),A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,Renny Harlin,John Long(premise),Michael France(screen story),2 more credits»,Sylvester Stallone,John Lithgow,Michael Rooker, , ,cortina italy|bill|rope|fraud|bullet,"$70,000,000(estimated)","$84,049,211","$255,000,211","Carolco Pictures,Canal+,Pioneer"
170,The Firm,https://www.imdb.com/title/tt0106918/,1993,6.8,58,"113,839",R,2h 34min,Drama,Mystery,Thriller, ,30 June 1993 (USA),A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,Sydney Pollack,John Grisham(novel),David Rabe(screenplay),2 more credits»,Tom Cruise,Jeanne Tripplehorn,Gene Hackman, , ,oral sex|seduction|frame up|washington monument washington d.c.|caribbean sea,"$42,000,000(estimated)","$158,348,367","$270,248,367","Davis Entertainment,Mirage Enterprises,Paramount Pictures"
171,Robin Hood: Men in Tights,https://www.imdb.com/title/tt0107977/,1993,6.7,44,"113,178",PG-13,1h 44min,Adventure,Comedy,Musical, ,28 July 1993 (USA),"A spoof of Robin Hood in general, andRobin Hood: Prince of Thieves(1991) in particular.",Mel Brooks,J.D. Shapiro(story) (as J. David Shapiro),Evan Chandler(story),3 more credits»,Cary Elwes,Richard Lewis,Roger Rees, , ,spoof|rabbi|castle|king|sheriff,"$20,000,000(estimated)","$35,739,755","$35,739,755","Brooksfilms,Gaumont"
172,Robin Hood: Prince of Thieves,https://www.imdb.com/title/tt0102798,1991,6.9,51,"173,999",Not Rated,2h 23min,Action,Adventure,Drama, ,14 June 1991 (USA),"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw.",Kevin Reynolds,Pen Densham(story),Pen Densham(screenplay), ,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio, , ,robin hood character|jerusalem israel|england|modern minstrel|balladeer,"$48,000,000(estimated)","$165,493,908","$390,493,908","Warner Bros.,Morgan Creek Entertainment"
173,Hocus Pocus,https://www.imdb.com/title/tt0107120/,1993,6.9,Reviews194 user|57 critic,"90,256",PG,1h 36min,Comedy,Family,Fantasy, ,16 July 1993 (USA),"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",Kenny Ortega,David Kirschner(story),Mick Garris(story),2 more credits»,Bette Midler,Sarah Jessica Parker,Kathy Najimy, , ,year 1993|halloween|spell|witch|magic,"$28,000,000(estimated)","$39,514,713","$39,514,713","Walt Disney Pictures,Touchwood Pacific Partners 1"
174,Cool Runnings,https://www.imdb.com/title/tt0106611/,1993,7.0,60,"89,836",PG,1h 38min,Adventure,Comedy,Family, ,1 October 1993 (USA),"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",Jon Turteltaub,Lynn Siefert(story),Michael Ritchie(story),3 more credits»,John Candy,Leon,Doug E. Doug, , ,american played by canadian|product placement|canada|runner|beard,"$14,000,000(estimated)","$68,856,263","$154,856,263",Walt Disney Pictures
175,In the Line of Fire,https://www.imdb.com/title/tt0107206/,1993,7.2,74,"89,834",R,2h 8min,Action,Crime,Drama, ,9 July 1993 (USA),"Secret Service agent Frank Horrigan (Clint Eastwood) couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",Wolfgang Petersen,Jeff Maguire, , ,Clint Eastwood,John Malkovich,Rene Russo, , ,miniskirt|second chance|firearm|assassin|assassination,"$40,000,000(estimated)","$102,314,823","$176,997,168","Columbia Pictures,Castle Rock Entertainment"
176,Hot Shots! Part Deux,https://www.imdb.com/title/tt0107144/,1993,6.6,Reviews113 user|36 critic,"82,406",PG-13,1h 26min,Action,Comedy, , ,21 May 1993 (USA),"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",Jim Abrahams,Jim Abrahams(characters),Pat Proft(characters),2 more credits»,Charlie Sheen,Lloyd Bridges,Valeria Golino, , ,male objectification|ronald reagan character|saddam hussein character|richard m. nixon character|parody,"$25,000,000(estimated)","$38,922,972","$133,752,825",Twentieth Century Fox
177,The Sandlot,https://www.imdb.com/title/tt0108037/,1993,7.8,55,"76,438",PG,1h 41min,Comedy,Drama,Family, ,7 April 1993 (USA),"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",David Mickey Evans,David Mickey Evans,Robert Gunter, ,Tom Guiry,Mike Vitar,Art LaFleur, , ,original story|one piece bathing suit|voyeurism|baseball|kiss on the lips,,"$32,950,136","$34,348,443","Twentieth Century Fox,Island World"
178,Addams Family Values,https://www.imdb.com/title/tt0106220/,1993,6.7,62,"76,353",PG-13,1h 34min,Comedy,Fantasy, , ,19 November 1993 (USA),"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",Barry Sonnenfeld,Charles Addams(characters),Paul Rudnick, ,Anjelica Huston,Raul Julia,Christopher Lloyd, , ,baby boy|baby brother|brother brother relationship|husband wife relationship|baby son,"$47,000,000(estimated)","$48,919,043","$48,919,043","Paramount Pictures,Scott Rudin Productions"
179,Wayne's World 2,https://www.imdb.com/title/tt0108525/,1993,6.2,60,"75,376",PG-13,1h 35min,Comedy,Music, , ,10 December 1993 (USA),The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,Stephen Surjik,Mike Myers(characters),Mike Myers,2 more credits»,Mike Myers,Dana Carvey,Christopher Walken, , ,watching tv|concert|record producer|wedding|self referential,"$40,000,000(estimated)","$48,197,805","$48,198,564",Paramount Pictures
180,The Pelican Brief,https://www.imdb.com/title/tt0107798/,1993,6.6,50,"74,514",PG-13,2h 21min,Crime,Drama,Mystery, ,17 December 1993 (USA),"A law student uncovers a conspiracy, putting herself and others in danger.",Alan J. Pakula,John Grisham(book),Alan J. Pakula(screenplay), ,Julia Roberts,Denzel Washington,Sam Shepard, , ,aerial camera shot|murderess|swiss bank account|college lecture|hotel room,"$45,000,000(estimated)","$100,768,056","$195,268,056",Warner Bros.
181,A Perfect World,https://www.imdb.com/title/tt0107808/,1993,7.6,71,"71,836",PG-13,2h 18min,Crime,Drama,Thriller, ,24 November 1993 (USA),"Kidnapped boy Phillip Perry (T.J. Lowther) strikes up a friendship with his captor Butch Haynes (Kevin Costner): an escaped convict on the run from the law, while the search is headed up by honorable Texas Ranger ""Red"" Garrett (Clint Eastwood).",Clint Eastwood,John Lee Hancock, , ,Kevin Costner,Clint Eastwood,Laura Dern, , ,escaped convict|anti hero|1960s|child uses a gun|child with a gun,"$30,000,000(estimated)","$31,130,999","$135,130,999","Warner Bros.,Malpaso Productions"
182,Free Willy,https://www.imdb.com/title/tt0106965/,1993,6.0,79,"67,021",PG,1h 52min,Adventure,Drama,Family, ,16 July 1993 (USA),"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",Simon Wincer,Keith Walker(story) (as Keith A. Walker),Keith Walker(screenplay) (as Keith A. Walker), ,Jason James Richter,Lori Petty,Michael Madsen, , ,whale|killer whale|animal|no opening credits|warner bros.,"$20,000,000(estimated)","$77,698,625","$153,698,625","Warner Bros.,Canal+,Regency Enterprises"
183,The Remains of the Day,https://www.imdb.com/title/tt0107943/,1993,7.8,84,"63,419",PG,2h 14min,Drama,Romance, , ,12 November 1993 (UK),A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,Kazuo Ishiguro(novel),Ruth Prawer Jhabvala(screenplay), ,Anthony Hopkins,Emma Thompson,John Haycraft, , ,butler|housekeeper|manor|estate|class differences,"$15,000,000(estimated)","$23,237,911","$23,237,911","Columbia Pictures,Merchant Ivory Productions"
184,Indecent Proposal,https://www.imdb.com/title/tt0107211/,1993,6.0,35,"61,170",R,1h 57min,Drama,Romance, , ,7 April 1993 (USA),A billionaire offers one million dollars to a young married couple for one night with the wife.,Adrian Lyne,Jack Engelhard(novel),Amy Holden Jones(screenplay), ,Robert Redford,Demi Moore,Woody Harrelson, , ,paying for sex|caught stealing|female nudity|love triangle|nonlinear timeline,"$38,000,000(estimated)","$106,614,059","$266,614,059",Paramount Pictures
185,Dennis the Menace,https://www.imdb.com/title/tt0106701/,1993,5.6,Reviews72 user|26 critic,"54,528",PG,1h 34min,Comedy,Family, , ,25 June 1993 (USA),"When his parents have to go out of town, Dennis stays with Mr. and Mrs. Wilson. The little menace is driving Mr. Wilson crazy, but Dennis is just trying to be helpful. Even to the thief who's arrived in town.",Nick Castle,Hank Ketcham(characters),John Hughes, ,Walter Matthau,Mason Gamble,Joan Plowright, , ,problem child|first part|villain|copy machine|gold coin,,"$51,270,765","$117,270,765","Warner Bros.,Hughes Entertainment,Warner Bros. Family Entertainment"
186,Rudy,https://www.imdb.com/title/tt0108002/,1993,7.5,71,"54,435",PG,1h 54min,Biography,Drama,Sport, ,22 October 1993 (USA),Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,David Anspaugh,Angelo Pizzo, , ,Sean Astin,Jon Favreau,Ned Beatty, , ,dyslexia|motivation|college football|notre dame fighting irish|football movie,,"$22,881,563","$22,881,563",TriStar Pictures
187,Benny & Joon,https://www.imdb.com/title/tt0106387/,1993,7.2,57,"53,594",PG,1h 38min,Comedy,Drama,Romance, ,23 April 1993 (USA),A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,Jeremiah S. Chechik(as Jeremiah Chechik),Barry Berman(story),Lesley McNeil(story) (as Leslie McNeil), ,Johnny Depp,Mary Stuart Masterson,Aidan Quinn, , ,brother sister relationship|siblings living together|sibling|love|poker,,"$23,261,580","$23,261,580","Metro-Goldwyn-Mayer (MGM),Roth-Arnold Productions"
188,Menace II Society,https://www.imdb.com/title/tt0107554/,1993,7.5,76,"50,054",R,1h 37min,Crime,Drama,Thriller, ,26 May 1993 (USA),A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,Albert Hughes(as The Hughes Brothers),Allen Hughes(story),Albert Hughes(story),2 more credits»,Tyrin Turner,Larenz Tate,June Kyoto Lu, , ,1990s|african american family|ghetto|single mother|urban decay,"$3,500,000(estimated)","$27,912,072","$27,912,072",New Line Cinema
189,Kalifornia,https://www.imdb.com/title/tt0107302/,1993,6.7,49,"49,902",R,1h 57min,Crime,Drama,Thriller, ,3 September 1993 (USA),"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",Dominic Sena,Stephen Levy(story),Tim Metcalfe(story), ,Brad Pitt,Juliette Lewis,Kathy Larson, , ,journalist|brutality|shooting a policewoman|hairy chest|black comedy,"$9,000,000(estimated)","$2,395,231","$2,395,231","PolyGram Filmed Entertainment,Viacom Productions,Propaganda Films"
190,The Age of Innocence,https://www.imdb.com/title/tt0106226/,1993,7.2,90,"49,740",PG,2h 19min,Drama,Romance, , ,1 October 1993 (USA),"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",Martin Scorsese,Edith Wharton(novel),Jay Cocks(screenplay), ,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder, , ,catholic|f rated|period drama|new york|countess,"$34,000,000(estimated)","$32,255,440","$32,255,440","Columbia Pictures,Cappa Production"
191,Alive,https://www.imdb.com/title/tt0106246/,1993,7.1,Reviews132 user|49 critic,"49,434",R,2h,Adventure,Biography,Drama, ,15 January 1993 (USA),A Uruguayan rugby team stranded in the snow swept Andes are forced to use desperate measures to survive after a plane crash.,Frank Marshall,Piers Paul Read(book),John Patrick Shanley(screenplay), ,Ethan Hawke,Vincent Spano,Josh Hamilton, , ,based on true story|survival|andes mountains|crash|stranded,"$32,000,000(estimated)","$36,733,909","$36,733,909","Film Andes S.A.,Paramount Pictures,The Kennedy/Marshall Company"
192,The Three Musketeers,https://www.imdb.com/title/tt0108333/,1993,6.4,43,"49,393",PG,1h 45min,Action,Adventure,Comedy, ,12 November 1993 (USA),"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.",Stephen Herek,Alexandre Dumas(novel),David Loughery(screenplay), ,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell, , ,eyepatch|held at swordpoint|reference to the three musketeers|father son relationship|character says all for one and one for all,"$30,000,000(estimated)","$53,898,845","$53,898,845","Walt Disney Pictures,Caravan Pictures,Wolfgang Odelga Filmproduktion GmbH"
193,Coneheads,https://www.imdb.com/title/tt0106598/,1993,5.3,49,"49,351",PG,1h 28min,Comedy,Sci-Fi, , ,23 July 1993 (USA),Aliens with conical crania crash-land on Earth.,Steve Barron,Tom Davis,Dan Aykroyd,2 more credits»,Dan Aykroyd,Jane Curtin,Robert Knott, , ,one word title|spock character|interspecies romance|james t. kirk character|alien,"$33,000,000(estimated)","$21,274,717","$21,274,717",Paramount Pictures
194,Dave,https://www.imdb.com/title/tt0106673/,1993,6.8,76,"47,849",PG-13,1h 50min,Comedy,Romance, , ,7 May 1993 (USA),"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place.",Ivan Reitman,Gary Ross, , ,Kevin Kline,Sigourney Weaver,Frank Langella, , ,conspiracy|doppelganger|the white house|president|first lady,"$28,000,000(estimated)","$63,270,710","$63,270,710","Warner Bros.,Northern Lights Entertainment,Donner/Shuler-Donner Productions"
195,Super Mario Bros.,https://www.imdb.com/title/tt0108255/,1993,4.1,Reviews335 user|50 critic,"47,663",PG,1h 44min,Adventure,Comedy,Family, ,28 May 1993 (USA),"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",Annabel Jankel,Parker Bennett,Terry Runte, ,Bob Hoskins,John Leguizamo,Dennis Hopper, , ,plumber|dinosaur|italian american|based on video game|super mario bros. characters,"$48,000,000(estimated)","$20,915,465","$20,915,465","Allied Filmmakers,Cinergi Pictures Entertainment,Hollywood Pictures"
196,Sister Act 2: Back in the Habit,https://www.imdb.com/title/tt0108147/,1993,5.6,38,"47,555",PG,1h 47min,Comedy,Family,Music, ,10 December 1993 (USA),Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,Bill Duke,Paul Rudnick(characters) (as Joseph Howard),James Orr,2 more credits»,Whoopi Goldberg,Kathy Najimy,Maggie Smith, , ,nun|unruly child|school|nun's habit|mother superior,"$38,000,000(estimated)","$57,319,029","$57,319,029",Touchstone Pictures
197,This Boy's Life,https://www.imdb.com/title/tt0108330/,1993,7.3,60,"45,441",R,1h 55min,Biography,Drama, , ,23 April 1993 (USA),"The story about the relationship between a rebellious 1950s teenager and his abusive stepfather, based on the memoirs of writer and literature Professor Tobias Wolff.",Michael Caton-Jones,Tobias Wolff(book),Robert Getchell(screenplay), ,Robert De Niro,Leonardo DiCaprio,Ellen Barkin, , ,marital abuse|anal rape|bus|child driving a car|fistfight,,"$4,104,962","$4,104,962","Knickerbocker Films,Warner Bros."
198,RoboCop 3,https://www.imdb.com/title/tt0107978/,1993,4.1,40,"44,812",PG-13,1h 44min,Action,Crime,Sci-Fi, ,5 November 1993 (USA),"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.",Fred Dekker,Edward Neumeier(characters),Michael Miner(characters),3 more credits»,Robert John Burke,Nancy Allen,Mario Machado, , ,robocop|christmas|robocop character|broadcast signal intrusion|red wine,"$22,000,000(estimated)","$10,696,210","$10,696,210",Orion Pictures
199,Much Ado About Nothing,https://www.imdb.com/title/tt0107616/,1993,7.3,Reviews184 user|42 critic,"44,115",PG-13,1h 51min,Comedy,Drama,Romance, ,2 July 1993 (USA),"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",Kenneth Branagh,William Shakespeare(play),Kenneth Branagh(adaptation), ,Kenneth Branagh,Emma Thompson,Keanu Reeves, , ,directed by star|shakespeare's much ado about nothing|based on play|multi plot|italy,"$11,000,000(estimated)","$22,549,338","$22,549,338","Renaissance Films,American Playhouse Theatrical Films,BBC Films"
200,Loaded Weapon 1,https://www.imdb.com/title/tt0107659/,1993,6.2,Reviews79 user|24 critic,"43,565",PG-13,1h 24min,Action,Comedy,Crime, ,5 February 1993 (USA),"A spoof onLethal Weapon(1987), other movies, TV commercials etc. 2 unlike LA cops investigate a cocaine in girl scout cookies case.",Gene Quintano,Don Holley(story),Tori Tellem(story),2 more credits»,Emilio Estevez,Samuel L. Jackson,Jon Lovitz, , ,scotty character|ariel character|time bomb|pantyhosed leg|stockings,"$13,000,000(estimated)","$27,979,399","$27,979,399","New Line Cinema,3 Arts Entertainment,National Lampoon"
201,Lethal Weapon,https://www.imdb.com/title/tt0093409,1987,7.6,68,"231,051",Not Rated,1h 49min,Action,Crime,Thriller, ,6 March 1987 (USA),Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Richard Donner,Shane Black, , ,Mel Gibson,Danny Glover,Gary Busey, , ,police|police officer|breasts|police partner|female nudity,"$15,000,000(estimated)","$65,207,127","$120,207,127","Warner Bros.,Silver Pictures"
202,Hard Target,https://www.imdb.com/title/tt0107076/,1993,6.2,Reviews203 user|97 critic,"43,118",R,1h 37min,Action,Adventure,Drama, ,20 August 1993 (USA),"A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process.",John Woo,Chuck Pfarrer, , ,Jean-Claude Van Damme,Lance Henriksen,Yancy Butler, , ,crime boss|gangster|organized crime|mercenary|money,"$18,000,000(estimated)","$32,589,677","$74,189,677","Universal Pictures,Alphaville Films,Renaissance Pictures"
203,Grumpy Old Men,https://www.imdb.com/title/tt0107050/,1993,7.0,53,"41,872",PG-13,1h 43min,Comedy,Drama,Romance, ,25 December 1993 (USA),A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.,Donald Petrie,Mark Steven Johnson, , ,Jack Lemmon,Walter Matthau,Ann-Margret, , ,original story|neighbor|minnesota|fishing|frozen lake,,"$70,172,621","$70,172,621","John Davis,Lancaster Gate,Warner Bros."
204,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,1994,9.3,80,"2,260,003",PG,2h 22min,Drama, , , ,14 October 1994 (USA),"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"Stephen King(short story ""Rita Hayworth and Shawshank Redemption"")",Frank Darabont(screenplay), ,Tim Robbins,Morgan Freeman,Bob Gunton, , ,wrongful imprisonment|based on the works of stephen king|prison|escape from prison|voice over narration,"$25,000,000(estimated)","$28,699,976","$28,815,245",Castle Rock Entertainment
